Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
05/18/2021,Tue,Mickey Merriam Playfield #11,18:00,20:15,40,NCLL Lightning Dogs,NESLL Wolfpack,
05/18/2021,Tue,Ravenna Park #1,18:00,20:15,41,NCLL Cheeto Sloths,RUGLL Alley Cats,
05/19/2021,Wed,LW3,18:00,20:00,125,TNT Taqueria,Seattle Stained Glass,06:00 PM - 08:00 PM
05/19/2021,Wed,LW4,18:00,20:00,126,Panthers,Greenwood Hardware,06:00 PM - 08:15 PM
05/19/2021,Wed,Lower Ross,17:30,19:45,43,NESLL Golden Girls,NCLL Cube Smart Cats,05:00 PM - 07:30 PM
05/19/2021,Wed,Maple Leaf 2,18:00,20:00,131,Morgan's Plumbing,Royals,
05/20/2021,Thu,LW5,18:30,20:30,126,Reuben's Brewers,Ken's Market,06:00 PM - 08:15 PM
05/20/2021,Thu,QA3,17:30,20:00,128,Rough Riders,Fischer Plumbing,
05/22/2021,Sat,Ballard Community Center #2,15:15,17:00,44,NCLL Purple,BLL Phoenix,
05/22/2021,Sat,Gilman 1,13:00,15:00,133,Reuben's Brewers,Ballard Nordics,
05/22/2021,Sat,Gilman 2,15:30,17:30,136,Reuben's Brewers,Ballard Plumbing,
05/22/2021,Sat,LW3,11:30,13:30,48,NESLL Golden Girls,NCLL Cheeto Sloths,09:00 AM - 07:00 PM
05/22/2021,Sat,LW3,14:00,16:00,137,Seattle Stained Glass,Morgan's Plumbing,09:00 AM - 07:00 PM
05/22/2021,Sat,LW4,11:30,13:30,49,Northeast #3,NCLL Lightning Dogs,09:00 AM - 07:00 PM
05/22/2021,Sat,LW4,13:30,15:30,137,Albert Lee,Ken's Market,09:00 AM - 07:00 PM
05/22/2021,Sat,LW4,14:00,16:00,138,Panthers,TNT Taqueria,09:00 AM - 07:00 PM
05/22/2021,Sat,LW4,16:00,18:00,138,Shore1,Ken's Market,09:00 AM - 07:00 PM
05/22/2021,Sat,LW5,11:30,13:30,81,BLL Blazing Tigers,NCLL Harjo Construction,09:00 AM - 07:00 PM
05/22/2021,Sat,LW5,13:30,15:30,139,Albert Lee,Rough Riders,09:00 AM - 07:00 PM
05/22/2021,Sat,LW5,16:00,18:00,140,Shore1,Rough Riders,09:00 AM - 07:00 PM
05/22/2021,Sat,LW6,11:30,13:30,57,NESLL/RUGLL LLC,NCLL/QALL Reignmakers,09:00 AM - 07:00 PM
05/22/2021,Sat,Lower Ross,11:00,12:30,40,NCLL Koalas,NCLL Bluebirds,XXXXXXXX
05/22/2021,Sat,Loyal Heights Playfield #2,09:00,11:15,79,NCLL SantoriniDave.com,BLL Devils,
05/22/2021,Sat,Magnolia Playfield #2,09:00,11:15,80,NCLL Dynamite,MLL Phoenix,
05/22/2021,Sat,Maple Leaf 2,12:00,14:00,141,Greenwood Hardware,Yellow Jackets,
05/22/2021,Sat,Northacres Park #2,12:30,14:45,51,NCLL Cube Smart Cats,NWLL Ballard Pediatric Denistry,
05/24/2021,Mon,LW4,18:00,20:00,147,Greenwood Hardware,Morgan's Plumbing,06:00 PM - 09:00 PM
05/24/2021,Mon,LW5,18:00,20:00,148,Reds,TNT Taqueria,06:00 PM - 09:00 PM
05/24/2021,Mon,LW6,18:30,20:30,63,MLL Thrillers,NCLL/QALL Reignmakers,06:00 PM - 09:00 PM
05/24/2021,Mon,Maple Leaf 1,18:00,20:00,152,Seattle Stained Glass,Royals,
05/25/2021,Tue,LW3,18:30,20:30,89,BLL Devils,NCLL Harjo Construction,06:00 PM - 09:00 PM
05/25/2021,Tue,Lower Ross,17:30,19:15,49,NCLL Purple,NCLL Koalas,05:00 PM - 07:30 PM
05/25/2021,Tue,Loyal Heights Playfield #2,17:45,19:30,47,NCLL Bluebirds,BLL Phoenix,
05/26/2021,Wed,LW3,18:00,20:00,158,Greenwood Hardware,Seattle Stained Glass,06:00 PM - 09:00 PM
