Game,Day,Date,Location,Game Start,Game End,Away,Home,
44,Saturday,5/22/2021,Ballard Community Center #2,3:15 PM,5:00 PM,NCLL Purple,BLL Phoenix,4/11 - Field and start time changed from Ballard Community Center #1 at 2:30 PM
207,Saturday,5/22/2021,Northshore Athletic Fields #7,3:30 PM,5:30 PM,NSLL Storm,WLL Fireballs,
45,Saturday,5/22/2021,Cromwell Park,4:00 PM,5:45 PM,NESLL Purple Puppies,SLL Poison Bats,
209,Saturday,5/22/2021,Northshore Athletic Fields #6,6:00 PM,8:00 PM,WLL Wolverines,NSLL Thunder,
208,Saturday,5/22/2021,Northshore Athletic Fields #7,6:00 PM,8:00 PM,NSLL Waves,WLL Cowgirls,
,,,,,,,,
46,Monday,5/24/2021,Lawton Park,5:30 PM,7:15 PM,MLL Montlake Partners,MLL Firehawks,
48,Tuesday,5/25/2021,Magnolia Playfield #2,5:30 PM,7:15 PM,QALL Golden Phoenix,MLL W.G. Clark,
49,Tuesday,5/25/2021,Ross Playground - Lower,5:30 PM,7:15 PM,NCLL Purple,NCLL Koalas,
47,Tuesday,5/25/2021,Loyal Heights Playfield #2,5:45 PM,7:30 PM,NCLL Bluebirds,BLL Phoenix,4/11 - Field and start time changed from Gilman Playfield #2 at 5:30 PM
50,Tuesday,5/25/2021,Cromwell Park,6:00 PM,7:45 PM,NESLL Softball Snakes,SLL Poison Bats,
51,Tuesday,5/25/2021,Mickey Merriam Playfield #11,6:00 PM,7:45 PM,RUGLL Fireflies,NESLL Bulldogs,
53,Tuesday,5/25/2021,Ravenna Park #1,6:00 PM,7:45 PM,NESLL Super Girls,RUGLL Dragonflies,
54,Tuesday,5/25/2021,Thornton Creek Playfield #2,6:00 PM,7:45 PM,RUGLL Bees,NESLL Purple Puppies,
52,Tuesday,5/25/2021,West Queen Anne Playfield #2,6:00 PM,7:45 PM,QALL Thunder Cheetahs,QALL Tiger Lillies,
,,,,,,,,
55,Tuesday,6/1/2021,Lawton Park,5:30 PM,7:15 PM,QALL Thunder Cheetahs,MLL Montlake Partners,
56,Tuesday,6/1/2021,Ross Playground - Lower,5:30 PM,7:15 PM,NCLL Purple,NCLL Bluebirds,
57,Tuesday,6/1/2021,Ballard Community Center #1,5:45 PM,7:30 PM,NCLL Koalas,BLL Phoenix,
58,Tuesday,6/1/2021,Interbay Athletic Complex - Softball #2,6:00 PM,7:45 PM,MLL W.G. Clark,QALL Tiger Lillies,
59,Tuesday,6/1/2021,Maple Leaf Park#1,6:00 PM,7:45 PM,NESLL Softball Snakes,RUGLL Bees,
61,Tuesday,6/1/2021,Ravenna Park #1,6:00 PM,7:45 PM,NESLL Super Girls,RUGLL Fireflies,
62,Tuesday,6/1/2021,Thornton Creek Playfield #1,6:00 PM,7:45 PM,RUGLL Dragonflies,NESLL Purple Puppies,
63,Tuesday,6/1/2021,Thornton Creek Playfield #2,6:00 PM,7:45 PM,SLL Poison Bats,NESLL Bulldogs,
60,Tuesday,6/1/2021,West Queen Anne Playfield #2,6:00 PM,7:45 PM,MLL Firehawks,QALL Golden Phoenix,
215,Saturday,6/5/2021,Northshore Athletic Fields #7,8:00 AM,10:00 AM,WLL Mudhens,WLL Wolverines,
64,Saturday,6/5/2021,Laurelhurst Playfield #1,9:00 AM,11:00 AM,NESLL Super Girls,NESLL Bulldogs,
65,Saturday,6/5/2021,Laurelhurst Playfield #2,9:00 AM,11:00 AM,NESLL Purple Puppies,NESLL Softball Snakes,
